,Post ID,Comments,,
122,CyBotnouUZp,#CANCELPERCY,,
123,CyBotnouUZp,"Is it serious that you guys from Tudum horror season included Percy Hynes White in your editions? A guy accused of SA, as well as being rac1st, hom0ph0bic and mis0gyn1st1c? WE, Wednesday's FANS, want him OUT of the show",,
124,CyBotnouUZp,"Your tudum horror season editor added Percy Hynes White in the promotion. This is beyond disrespectful to minorities this man has insulted and laughed at, so hopefully you'll either tell us already if he's in or out or we will make Wednesday flop big time. We are tired.",,
125,CyBotnouUZp,check my account,,
126,CyBotnouUZp,"If your attempt to terrify the public is to show the face of Percy Hynes White, sexual predator, racist and neo-Nazi in a Halloween call, congratulations! It achieved! Because there's nothing more terrifying than a company like Netflix promoting a real criminal.",,
127,CyBotnouUZp,Bring back @thechristinequinn 🥺🙏🏽,,
128,CyBotnouUZp,@jaijackson_jin @juliajacksonjin,,
129,CyBotnouUZp,@j355ica90 @_lucybarlow_,,
130,CyBotnouUZp,If @thechristinequinn isn’t back it’s dead.,,
131,CyBotnouUZp,@em.rizz are we having a watch partyyy 🍿🥤,,
132,CyBotnouUZp,@jadepowers1  can we do day dates and watch this together 😂,,
133,CyBotnouUZp,We want @thechristinequinn  and @theheatherraeelmoussa  back!,,
134,CyBotnouUZp,@remylloydx omg next month!,,
135,CyBotnouUZp,@jenn_ramos1985 yes!!!!,,
136,CyBotnouUZp,Where is @theheatherraeelmoussa ?? And why do you still have @chrishell.stause 🤨🤨🤨🤨,,
137,CyBotnouUZp,@eoreilly17,,
138,CyBotnouUZp,@christinagarzaniti,,
139,CyBotnouUZp,@vickicardno 🥳🥳,,
140,CyBotnouUZp,@michelleappelkoch 🔥🔥😍,,
141,CyBotnouUZp,@gigimsugirl @_revery_ FINALLY 🥳🥳,,
142,CyBotnouUZp,@sophie_taylor1996,,
143,CyBotnouUZp,@kaylahamms,,
144,CyBotnouUZp,@sammie___0 😆,,
145,CyBotnouUZp,@blonde_dee_s 🙌🙌🙌,,
146,CyBotnouUZp,@sheenaghc,,
147,CyBotnouUZp,"⚠️⚠️ It's shameful to know that @netflix uses the image of a cr1minal for an advertisement, Percy Hynes White was exposed for p3dophilia, r4cism, homoph0bia, m1sogyny, n3o n4zism, white supr3macy and support for terr0rism and he never DENIED any of this, including his mother justified these cases as ""dark humor"", but you show that you don't care at all about that and that you agree with this guy's mother",,
148,CyBotnouUZp,@katiedougherty,,
149,CyBotnouUZp,"you should be ashamed of using the image of a hom0phobic/r4cist(Percy Hynes White) to promote ads, @netflix always showing when it doesn't care about minorities",,
150,CyBQrMoPhP7,"Sex Education 
S1: story- 90%, wokeness- 10% 
S4: story- 10% , wokeness- 90%",,
151,CyBQrMoPhP7,Is there anything about straight teen boys ??,,
152,CyBQrMoPhP7,why make another teen british show when SE had so much potential and y’all just ended it like that 😐,,
153,CyBQrMoPhP7,otis had a glow down this season 🥲,,
154,CyBQrMoPhP7,"newest SE season is the worst, and im not even talking about that actually almost every character is some sort of lgbt, but the scenario is just horrible. How tf it even get accepted and produced lmfao",,
155,CyBQrMoPhP7,Can anyone be straight now?,,
156,CyBQrMoPhP7,We miss straight people,,
157,CyBQrMoPhP7,This is my opinion on season 4 MEH 😑,,
158,CyBQrMoPhP7,I need to process how bad it was,,
159,CyBQrMoPhP7,to woke,,
160,CyBQrMoPhP7,S4 of Sex Education is the worst season of any show I watched.,,
161,CyBQrMoPhP7,,,
162,CyBQrMoPhP7,,,
163,CyBQrMoPhP7,Sex education is best all time,,
164,CyBQrMoPhP7,Meave and Otis deserved a much better ending 😭 not to talk about all the others who should’ve been together. One can only hope for a miracle and the production of another season 🥲,,
165,CyBQrMoPhP7,For me this season was flop bcz i was utterly waited for Otis and Rubis comeback and romance 🫠🥲,,
166,CyBQrMoPhP7,let’s go girls gays and theys,,
167,CyBQrMoPhP7,LGBT education ✅,,
168,CyBQrMoPhP7,"This season was so boring and let alone didn’t feel like a conclusion it felt more like a refresh for them, ya brought in new characters for no reason and left some unanswered things. For that just give us a season 5 that have a finale to it.",,
169,CyBQrMoPhP7,,,
170,CyBQrMoPhP7,Someone please tell me if it's worth watching I can't watch if it turns out like Sex education S4,,
171,CyBQrMoPhP7,"just heartstopper , heartstopper is the best perfect to ever exists , heartstopper 4L ongg 🍂🍂 !!.",,
172,CyBQrMoPhP7,Love,,
173,CyBQrMoPhP7,"OMG people are losing their 💩 over another lgbtq+ serie...grow up ppl and if you do not like it, just don't watch it... go and watch literally everything else. There are so many movies and tv shows with only straight characters you can choose from. 😊",,
174,CyBQrMoPhP7,Sex Education ending was so Meh it had more potential 🙃,,
175,CyBQrMoPhP7,Make a season 5 of sex education,,
176,CyBQrMoPhP7,Poor Otis didn’t even get any kind of ending 😢,,
177,CyBQrMoPhP7,Not the Sex Education*,,
178,CyBQrMoPhP7,,,
179,CyBQrMoPhP7,At least they ended the series at the right time. S4 was mid,,
180,CyBQrMoPhP7,"Netflix is the king of cancelling good shows but continuing wack ass, lame ass ones",,
181,CyBQrMoPhP7,Check my story,,
182,CyBQrMoPhP7,Just started it my god its so choppy & woke it's sad.,,
183,CyBQrMoPhP7,❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,,
184,CyBQrMoPhP7,Eu love essa série,,
185,CyBQrMoPhP7,Best season ever 😍❤️,,
186,CyBQrMoPhP7,😍😍😍😍❤️❤️❤️❤️🔥🔥🔥,,
187,CyBQrMoPhP7,Nothing tops sex ed.,,
188,CyBQrMoPhP7,"They  now focusing only on lgbtq people , kinda boring",,
189,CyBQrMoPhP7,Sorry but i’m not gay,,
190,CyBQrMoPhP7,Boringgg 👎 need straight shows!!,,
191,CyBQrMoPhP7,Too gay and boring.,,
192,CyBQrMoPhP7,Worst season... Too gay. Cudnt wat h,,
193,CyBQrMoPhP7,"Isaac from heartstopper is so pointless and doesn't have any personality there's absolutely no point of having him in the series, i cringe every time i see him holding books and pretending to reading them in every scene like the writers needs to do something interesting to his character or write him off bcuz he's so cringe and nothing will happen if he's gone",,
194,CyBQrMoPhP7,Netflix is trying too hard to push this gay agenda onto people.,,
195,CyBQrMoPhP7,"y’all dont understand the difference between gays and extremists. roman, the reason that homophobics exist. aisha, a creep. abbi, fake af. eric, the biggest red flag. the way otis and maeve ended, as if it’s not a big deal?!
S4 is full of 💩. S1-S3 still the best",,
196,CyBQrMoPhP7,P4l,,
197,CyBQrMoPhP7,"@netflix Bring Julie and the Phantoms back, I miss my favorite ghosts",,
198,CyBQrMoPhP7,"@netflix IT'S TIME BACK WITH JULIE AND THE PHANTOMS, THE SHOW MUST GO ON",,
199,CyBQrMoPhP7,@frdtlameera msih x leh move one SE ending,,
200,Cx-3lcWPJOS,Ok but I need updates about Bridgerton season 3,,
201,Cx-3lcWPJOS,BRIDGERTON S3 TRAILER WHEN??,,
202,Cx-3lcWPJOS,WHEN IS BRIDGETON SEASON 3 DROPPING!!! THE PEOPLE DEMAND A TRAILER AND RELEASE DATE! PLEASE 😭😭😭😭,,
